handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_c6be7d4a-3ef9-4814-ae3b-2b8ed6f5a36c,MEDIA,,,,,,5bdc9f_182961add2494134a943ed8eb5b42d66~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c6be7d4a-3ef9-4814-ae3b-2b8ed6f5a36c,MEDIA,,,,,,5bdc9f_2cb2e1c57dff4aef93f24297918e4526~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_79502ed9-c989-40f2-9ad4-5829a576c26b,PRODUCT,BIB - Pink Bubble,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Le gel de construction </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">professionnel Purple Professional Builder in Bottle (BIB) Pink Bubble</span><span style=""color: rgba(74, 74, 74, 0.75)""> est un gel auto-nivelant de qualité professionnelle, à la teinte rose translucide douce, qui donne aux ongles un aspect sain et éclatant. Alliant la </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">résistance d'un gel de construction traditionnel</span><span style=""color: rgba(74, 74, 74, 0.75)""> à la </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">praticité d'une formule à appliquer au pinceau</span><span style=""color: rgba(74, 74, 74, 0.75)""> , il garantit une application lisse et uniforme directement depuis le flacon – idéal pour les professionnels comme pour les utilisateurs avertis.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Sa composition à la fois souple et résistante offre </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">une adhérence exceptionnelle et une solidité naturelle</span><span style=""color: rgba(74, 74, 74, 0.75)""> , permettant de réparer, renforcer ou allonger les ongles jusqu'à </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">2-3 mm</span><span style=""color: rgba(74, 74, 74, 0.75)""> grâce à l'utilisation de chablons ou de capsules. Sa délicate teinte rose offre un éclat naturel «&nbsp;rose bulle&nbsp;» qui sublime toutes les carnations, idéal pour </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">une manucure nude ou french</span><span style=""color: rgba(74, 74, 74, 0.75)""> .</span></p>",purple;bib,purple,,,,,13.5,,,,,,7.81,3,false,,,,5600920741226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_79502ed9-c989-40f2-9ad4-5829a576c26b,MEDIA,,,,,,5bdc9f_b616a03b87ca49ca876aa7d64a1c8b07~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_79502ed9-c989-40f2-9ad4-5829a576c26b,MEDIA,,,,,,5bdc9f_45aaf85b1d1e4babace53dc8b9c2e8b8~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c48114d3-b73c-4964-9881-6af0e1721daa,PRODUCT,BIB - Milky Pink,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Le gel de construction </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">professionnel Purple Professional Builder in Bottle (BIB) Milky Pink</span><span style=""color: rgba(74, 74, 74, 0.75)""> est un gel auto-nivelant professionnel à la teinte rose laiteux délicate, formulé pour renforcer, lisser et embellir les ongles naturels. Sa formule haute performance allie la tenue d'un gel de construction à la praticité d'un </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">flacon applicateur au pinceau</span><span style=""color: rgba(74, 74, 74, 0.75)"">, pour une application lisse et précise à chaque fois.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Le vernis BIB Milky Pink offre </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">une forte adhérence, une grande flexibilité et une teinte rose tendre</span><span style=""color: rgba(74, 74, 74, 0.75)""> qui sublime la couleur naturelle de l'ongle. Il peut être utilisé pour </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">les recouvrements, le renforcement ou les extensions légères jusqu'à 2-3 mm</span><span style=""color: rgba(74, 74, 74, 0.75)""> avec des capsules ou des chablons. Idéal pour les manucures naturelles, baby boomer ou nude.</span></p>",purple;bib,purple,,,,,13.5,,,,,,9.45,3,false,,,,5600920739193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c48114d3-b73c-4964-9881-6af0e1721daa,MEDIA,,,,,,5bdc9f_4d7f5440037a4372ab98419021f18b37~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c48114d3-b73c-4964-9881-6af0e1721daa,MEDIA,,,,,,5bdc9f_ba9916edbf0541a48a42b6bf9b202995~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_01b74fe8-d779-4b79-9454-8dab54a1648f,PRODUCT,BIB - Milky Nude,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Le gel de construction professionnel auto-nivelant </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Purple Professional Builder in Bottle (BIB) Milky Nude</span><span style=""color: rgba(74, 74, 74, 0.75)""> est conçu pour offrir résistance, souplesse et un fini naturel. Sa formule de haute qualité allie la durabilité d'un gel de construction traditionnel à la praticité d'une application au pinceau, pour une utilisation facile directement depuis le flacon.</span></p><p><span style=""color: rgba(74, 74, 74, 0.75)"">Le vernis BIB Milky Nude lisse les imperfections, comble les stries et crée une base impeccable pour </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">les vernis semi-permanents, les gels de construction ou les systèmes hybrides.</span><span style=""color: rgba(74, 74, 74, 0.75)""> Sa teinte nude laiteuse élégante offre une couvrance naturelle et peut être portée seule pour un look net et soigné ou utilisée pour </span><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">des extensions jusqu'à 2-3 mm</span><span style=""color: rgba(74, 74, 74, 0.75)"">avec des chablons.</span></p>",purple;bib,purple,,,,,13.5,,,,,,9.45,0,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_01b74fe8-d779-4b79-9454-8dab54a1648f,MEDIA,,,,,,5bdc9f_97540f53a0494a84b4d95b98554233c9~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
